classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
149172890,chab5881,1835720,d7e1dc451df14e95c9de,9482,10 Image Sample,4.2,2019-02-28 22:38:52 UTC,,,"{""source"":""api"",""session"":""30fc8ce906d1822f6610ef6e6784d5d025c247976359b99b29adebec2bb30796"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-28T22:37:34.877Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T22:38:51.937Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null,null],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931646"":{""retired"":null,""image1"":""N1467345680_img.png"",""image2"":""N1467345680_plt.png"",""my_own_id"":""5""}}",30931646
149189342,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:51:43 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T22:49:07.847Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:51:43.034Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":404.714599609375,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""},{""x"":579.6708984375,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931644"":{""retired"":null,""image1"":""N1584974162_img.png"",""image2"":""N1584974162_plt.png"",""my_own_id"":""3""}}",30931644
149189453,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:52:20 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:51:58.338Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:52:20.298Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":575.8781127929688,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Tool name""}]}]","{""30931651"":{""retired"":null,""image1"":""N1467344745_img.png"",""image2"":""N1467344745_plt.png"",""my_own_id"":""10""}}",30931651
149189691,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:53:38 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:52:21.287Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:53:38.470Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":522.4293823242188,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Tool name""},{""x"":738.568359375,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""},{""x"":877.7258911132812,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931646"":{""retired"":null,""image1"":""N1467345680_img.png"",""image2"":""N1467345680_plt.png"",""my_own_id"":""5""}}",30931646
149189852,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:54:29 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:53:39.307Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:54:29.568Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":870.8410034179688,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Tool name""},{""x"":839.303955078125,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931645"":{""retired"":null,""image1"":""N1595337686_img.png"",""image2"":""N1595337686_plt.png"",""my_own_id"":""4""}}",30931645
149189940,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:54:59 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:54:30.349Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:54:59.630Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931643"":{""retired"":null,""image1"":""N1560312042_img.png"",""image2"":""N1560312042_plt.png"",""my_own_id"":""2""}}",30931643
149190047,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:55:26 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:55:00.320Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:55:25.776Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931650"":{""retired"":null,""image1"":""N1654249612_img.png"",""image2"":""N1654249612_plt.png"",""my_own_id"":""9""}}",30931650
149190209,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:56:20 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:55:26.409Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:56:20.250Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":840.452880859375,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931648"":{""retired"":null,""image1"":""N1597806864_img.png"",""image2"":""N1597806864_plt.png"",""my_own_id"":""7""}}",30931648
149190336,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:57:12 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:56:20.939Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:57:12.044Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":769.3115844726562,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Tool name""}]}]","{""30931642"":{""retired"":null,""image1"":""N1467351049_img.png"",""image2"":""N1467351049_plt.png"",""my_own_id"":""1""}}",30931642
149190495,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:58:01 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:57:12.825Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:58:01.274Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":786,""clientHeight"":393,""naturalWidth"":1000,""naturalHeight"":500},{""clientWidth"":786,""clientHeight"":196,""naturalWidth"":1000,""naturalHeight"":250}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":798.5811157226562,""tool"":0,""frame"":1,""details"":[],""tool_label"":""Tool name""}]}]","{""30931647"":{""retired"":null,""image1"":""N1595338491_img.png"",""image2"":""N1595338491_plt.png"",""my_own_id"":""6""}}",30931647
149190638,michaelaye,702426,2951a59e03e38db459f1,9482,10 Image Sample,4.2,2019-02-28 23:59:00 UTC,,,"{""source"":""api"",""session"":""67518a6f534a157c2a0cda0187aad3d8c501086de927f42d71f208ce341303b3"",""viewport"":{""width"":1316,""height"":1318},""started_at"":""2019-02-28T23:58:02.734Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"",""utc_offset"":""25200"",""finished_at"":""2019-02-28T23:59:00.526Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null,null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""11292""}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[]}]","{""30931649"":{""retired"":null,""image1"":""N1625958972_img.png"",""image2"":""N1625958972_plt.png"",""my_own_id"":""8""}}",30931649
